Formula,Fe,Co,Ni,Al,Ti,UTS_MPa,YS_MPa,Elongation_pct,HV,T_test_C,Test_Type,Phase,DOI,IsTensile
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,786.0,568.0,12.0,345.0,25.0,T,FCC+L12+Sec.,10.1007/s11837-015-1484-7,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,1039.0,596.0,20.0,345.0,25.0,T,FCC+L12+Sec.,10.1007/s11837-015-1484-7,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,702.0,487.0,18.0,345.0,700.0,T,FCC+L12+Sec.,10.1007/s11837-015-1484-7,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,624.0,486.0,11.0,345.0,700.0,T,FCC+L12+Sec.,10.1007/s11837-015-1484-7,1
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,18.64,18.64,36.26,3.92,0.0,1048.0,719.0,30.0,,25.0,T,FCC,10.1016/j.msea.2017.04.111,1
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,18.64,18.64,36.26,3.92,0.0,732.0,460.0,32.0,,25.0,T,FCC+L12,10.1016/j.msea.2017.04.111,1
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,17.0,17.0,33.01,7.99,0.0,459.0,357.0,9.0,,25.0,T,Other,10.1007/s11837-013-0756-3,1
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,17.0,17.0,33.01,7.99,0.0,365.0,365.0,0.1,,25.0,T,Other,10.1007/s11837-013-0756-3,1
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,17.0,17.0,33.01,7.99,0.0,489.0,215.0,39.0,,25.0,T,FCC+L12,10.1007/s11837-013-0756-3,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,18.18,18.18,18.18,9.09,0.0,1344.0,1284.0,7.6,,25.0,T,Other,10.1016/j.actamat.2015.07.004,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,18.18,18.18,18.18,9.09,0.0,1400.0,1290.0,5.0,,25.0,T,FCC,10.1016/j.jallcom.2009.10.088,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,18.18,18.18,18.18,9.09,0.0,790.0,650.0,27.0,,25.0,T,Other,10.1016/j.jallcom.2009.10.088,1
Al1 Co1 Cr1 Cu1 Fe1 Ni1,16.67,16.67,16.67,16.67,0.0,790.0,790.0,0.2,,25.0,T,BCC+Sec.,10.1016/j.msea.2011.11.045,1
Al1 Co1 Cr1 Cu1 Fe1 Ni1,16.67,16.67,16.67,16.67,0.0,1170.0,1040.0,1.0,,25.0,T,BCC+Sec.,10.1016/j.msea.2011.11.045,1
Al1 Co1 Cr1 Fe1 Ni1,20.0,20.0,20.0,20.0,0.0,393.0,295.0,12.0,,700.0,T,BCC+B2+FCC+Sec.,10.1016/j.msea.2015.08.078,1
Al1 Co1 Cr1 Cu1 Fe1 Ni1,16.67,16.67,16.67,16.67,0.0,360.0,350.0,5.0,,700.0,T,BCC+Sec.,10.1016/j.msea.2011.11.045,1
Al1 Co1 Cr1 Cu1 Fe1 Ni1,16.67,16.67,16.67,16.67,0.0,91.0,63.0,63.0,,700.0,T,BCC+Sec.,10.1016/j.msea.2011.11.045,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,18.18,18.18,18.18,9.09,0.0,185.0,180.0,5.0,,700.0,T,FCC,10.1016/j.jallcom.2009.10.088,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,18.18,18.18,18.18,9.09,0.0,180.0,160.0,12.0,,700.0,T,Other,10.1016/j.jallcom.2009.10.088,1
Co1 Cr1 Fe1 Ni1 Ti0.2,23.81,23.81,23.81,0.0,4.76,1240.0,700.0,36.0,,25.0,T,FCC,10.1016/j.actamat.2018.11.049,1
Co1 Cr1 Fe1 Ni1 Ti0.2,23.81,23.81,23.81,0.0,4.76,1580.0,860.0,46.0,,-196.0,T,FCC,10.1016/j.actamat.2018.11.049,1
Al0.1 Co1 Cr1 Fe1 Ni1,24.39,24.39,24.39,2.44,0.0,928.0,711.0,30.3,,25.0,T,FCC,10.1016/j.actamat.2018.12.012,1
Al0.5 Cr0.5 Fe0.5 Ni1,20.0,0.0,40.0,20.0,0.0,1357.0,774.0,6.4,,25.0,T,FCC+BCC+B2,10.1016/j.jallcom.2018.08.176,1
Al0.429 Cr0.476 Fe0.476 Ni1,19.99,0.0,42.0,18.02,0.0,1173.0,610.0,9.1,,25.0,T,FCC+BCC+B2,10.1016/j.jallcom.2018.08.176,1
Al0.364 Cr0.455 Fe0.455 Ni1,20.01,0.0,43.98,16.01,0.0,956.0,479.0,12.7,,25.0,T,FCC+BCC+B2,10.1016/j.jallcom.2018.08.176,1
Al0.304 Cr0.435 Fe0.435 Ni1,20.01,0.0,46.0,13.98,0.0,835.0,461.0,30.0,,25.0,T,FCC+BCC+B2,10.1016/j.jallcom.2018.08.176,1
Al0.25 Cr0.417 Fe0.417 Ni1,20.01,0.0,47.98,12.0,0.0,757.0,441.0,45.0,,25.0,T,FCC,10.1016/j.jallcom.2018.08.176,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,400.0,143.0,65.0,,25.0,T,FCC+L12,10.1016/j.scriptamat.2018.10.023,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,850.0,471.0,45.0,,25.0,T,FCC+L12,10.1016/j.scriptamat.2018.10.023,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,1050.0,841.0,35.0,,25.0,T,FCC+B2+Sec.,10.1016/j.scriptamat.2018.10.023,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,1650.0,161.0,7.0,,25.0,T,FCC+BCC+B2+Sec.,10.1016/j.scriptamat.2018.10.023,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,1850.0,187.0,5.0,,25.0,T,FCC+BCC+B2+Sec.,10.1016/j.scriptamat.2018.10.023,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,1039.0,840.0,32.0,,25.0,T,FCC+B2+Sec.,10.1016/j.actamat.2018.12.010,1
Al0.3 Co1 Cr1 Fe1 Ni1,23.26,23.26,23.26,6.98,0.0,410.0,159.0,65.0,,25.0,T,FCC,10.1016/j.actamat.2018.12.010,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,696.0,520.0,49.0,,23.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,561.0,470.0,11.0,,600.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,560.0,461.0,9.0,,700.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,536.0,445.0,6.0,,800.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,312.0,219.0,8.0,,900.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,1197.0,627.0,27.0,,23.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,1006.0,594.0,12.0,,600.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,840.0,547.0,17.0,,700.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,575.0,399.0,20.0,,800.0,T,FCC,10.3390/e21020169,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,15.01,24.98,36.0,10.01,6.01,319.0,243.0,34.0,,900.0,T,FCC,10.3390/e21020169,1
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,20.83,0.0,41.67,6.25,0.0,169.0,62.0,98.0,107.0,25.0,T,FCC,10.1016/j.matchar.2019.109792,1
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,20.83,0.0,41.67,6.25,0.0,642.0,350.0,73.0,209.0,25.0,T,FCC+L12,10.1016/j.matchar.2019.109792,1
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,20.83,0.0,41.67,6.25,0.0,904.0,535.0,39.0,321.0,25.0,T,FCC+L12+Sec.,10.1016/j.matchar.2019.109792,1
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,20.83,0.0,41.67,6.25,0.0,584.0,255.0,88.0,159.0,25.0,T,FCC+L12+Sec.,10.1016/j.matchar.2019.109792,1
Co1 Cr1 Fe1 Ni1 Ti0.3,23.26,23.26,23.26,0.0,6.98,772.0,540.0,60.0,263.0,25.0,T,FCC,10.1016/j.msea.2019.138181,1
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,23.26,11.61,34.88,0.0,6.98,875.0,586.0,46.0,308.0,25.0,T,FCC,10.1016/j.msea.2019.138181,1
Cr0.5 Fe0.5 Ni1 Ti0.15,23.26,0.0,46.51,0.0,6.98,982.0,672.0,37.0,335.0,25.0,T,FCC,10.1016/j.msea.2019.138181,1
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,35.0,0.0,19.99,5.01,0.0,556.0,280.0,48.0,,25.0,T,FCC,10.1016/j.msea.2019.05.056,1
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,35.0,0.0,19.99,10.01,0.0,625.0,320.0,42.2,,25.0,T,FCC,10.1016/j.msea.2019.05.056,1
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,35.0,0.0,19.99,5.01,0.0,1392.0,1253.0,6.78,,25.0,T,FCC,10.1016/j.msea.2019.05.056,1
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,35.0,0.0,19.99,10.01,0.0,1500.0,1400.0,5.83,,25.0,T,FCC,10.1016/j.msea.2019.05.056,1
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,40.39,0.0,11.31,7.51,0.0,535.0,159.0,,,25.0,T,,10.1016/j.msea.2019.01.083,1
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,40.39,0.0,11.31,7.51,0.0,584.0,409.0,,,25.0,T,,10.1016/j.msea.2019.01.083,1
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,40.39,0.0,11.31,7.51,0.0,1174.0,355.0,,,25.0,T,,10.1016/j.msea.2019.01.083,1
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,40.39,0.0,11.31,7.51,0.0,978.0,954.0,,,25.0,T,,10.1016/j.msea.2019.01.083,1
Fe99Al1,99.0,0.0,0.0,1.0,0.0,200.0,150.0,30.0,90.0,25.0,T,BCC,Dilute_alloy_lit,1
Fe95Al5,95.0,0.0,0.0,5.0,0.0,250.0,180.0,25.0,110.0,25.0,T,BCC,Dilute_alloy_lit,1
Fe90Al10,90.0,0.0,0.0,10.0,0.0,320.0,220.0,20.0,140.0,25.0,T,BCC,Dilute_alloy_lit,1
Fe80Al20,80.0,0.0,0.0,20.0,0.0,450.0,300.0,10.0,200.0,25.0,T,BCC+B2,Dilute_alloy_lit,1
Ni99Al1,0.0,0.0,99.0,1.0,0.0,180.0,100.0,40.0,80.0,25.0,T,FCC,Dilute_alloy_lit,1
Ni95Al5,0.0,0.0,95.0,5.0,0.0,220.0,120.0,35.0,90.0,25.0,T,FCC,Dilute_alloy_lit,1
Ni90Al10,0.0,0.0,90.0,10.0,0.0,300.0,150.0,30.0,120.0,25.0,T,FCC,Dilute_alloy_lit,1
Co95Al5,0.0,95.0,0.0,5.0,0.0,300.0,150.0,25.0,120.0,25.0,T,HCP,Dilute_alloy_lit,1
Co90Al10,0.0,90.0,0.0,10.0,0.0,400.0,200.0,20.0,150.0,25.0,T,HCP,Dilute_alloy_lit,1
Al95Ti5,0.0,0.0,0.0,95.0,5.0,120.0,80.0,15.0,60.0,25.0,T,FCC+L12,Dilute_alloy_lit,1
Al90Ti10,0.0,0.0,0.0,90.0,10.0,180.0,120.0,10.0,90.0,25.0,T,FCC+L12,Dilute_alloy_lit,1
Al80Ti20,0.0,0.0,0.0,80.0,20.0,280.0,180.0,5.0,140.0,25.0,T,L12,Dilute_alloy_lit,1
Fe95Ti5,95.0,0.0,0.0,0.0,5.0,280.0,180.0,20.0,110.0,25.0,T,BCC,Dilute_alloy_lit,1
Fe90Ti10,90.0,0.0,0.0,0.0,10.0,350.0,220.0,15.0,140.0,25.0,T,BCC,Dilute_alloy_lit,1
Ni95Ti5,0.0,0.0,95.0,0.0,5.0,250.0,120.0,30.0,100.0,25.0,T,FCC,Dilute_alloy_lit,1
Ni90Ti10,0.0,0.0,90.0,0.0,10.0,320.0,150.0,25.0,130.0,25.0,T,FCC,Dilute_alloy_lit,1
Fe_pure,100.0,0.0,0.0,0.0,0.0,200.0,100.0,40.0,80.0,25.0,T,BCC,Pure_metal_ref,1
Al_pure_fixed,0.0,0.0,0.0,100.0,0.0,90.0,30.0,50.0,25.0,25.0,T,FCC,Pure_metal_ref,1
Al99Fe1,1.0,0.0,0.0,99.0,0.0,95.0,40.0,40.0,30.0,25.0,T,FCC,Al_rich_lit,1
Al95Fe5,5.0,0.0,0.0,95.0,0.0,110.0,60.0,30.0,40.0,25.0,T,FCC,Al_rich_lit,1
Al90Fe10,10.0,0.0,0.0,90.0,0.0,140.0,80.0,20.0,60.0,25.0,T,FCC,Al_rich_lit,1
Al90Ni10,0.0,0.0,10.0,90.0,0.0,150.0,90.0,15.0,70.0,25.0,T,FCC,Al_rich_lit,1
Al85Ni15,0.0,0.0,15.0,85.0,0.0,180.0,110.0,10.0,90.0,25.0,T,FCC+L12,Al_rich_lit,1
Al90Ti10,0.0,0.0,0.0,90.0,10.0,160.0,100.0,10.0,80.0,25.0,T,FCC,Al_rich_lit,1
Al98Co2,0.0,2.0,0.0,98.0,0.0,100.0,50.0,30.0,35.0,25.0,T,FCC,Al_rich_lit,1
CoFeNi,33.33,33.33,33.33,0.0,0.0,513.0,211.0,31.0,,25.0,T,FCC,10.1016/j.actamat.2014.07.013,1
Co1 Cr1 Fe1 Ni1_Wu,25.0,25.0,25.0,0.0,0.0,708.0,274.0,39.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Cr1 Mn1 Ni1,0.0,25.0,25.0,0.0,0.0,694.0,282.0,44.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Cr1 Ni1,0.0,33.3,33.3,0.0,0.0,860.0,300.0,60.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Fe1 Mn1 Ni1,25.0,25.0,25.0,0.0,0.0,550.0,170.0,41.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Mn1 Ni1,0.0,33.3,33.3,0.0,0.0,653.0,231.0,38.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Fe1 Mn1 Ni1,33.3,0.0,33.3,0.0,0.0,602.0,221.0,36.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Cr1 Fe1 Ni1_Liu,25.0,25.0,25.0,0.0,0.0,413.0,148.0,48.0,,25.0,T,FCC,10.1016/j.intermet.2015.01.004,1
(FeCoNi)86Al7Ti7_LPBF,28.67,28.67,28.67,7.0,7.0,1221.6,,32.6,,25.0,T,FCC+L21,10.1016/j.mtcomm.2024.110285,1
(FeCoNi)86Al7Ti7_VAM,28.67,28.67,28.67,7.0,7.0,972.5,,8.8,,25.0,T,FCC,10.1016/j.mtcomm.2024.110285,1
(FeCoNi)94Ti6,31.33,31.33,31.33,0.0,6.0,1263.0,893.0,24.0,,25.0,T,FCC+L12,10.1016/j.jallcom.2020.154457,1
(FeCoNi)85.84Al7.07Ti7.09_aged,28.61,28.61,28.61,7.07,7.09,1625.0,1214.0,,,25.0,T,FCC+L12,10.1016/j.jmrt.2023.07.074,1
Ni0.6CoFe1.6_Al0.2Ti0.1,45.7,28.6,17.1,5.7,2.9,1305.4,837.7,12.3,,25.0,T,BCC+FCC+L21,10.1016/j.jmrt.2023.01.035,1
Co1 Fe1 Ni1,33.33,33.33,33.33,0.0,0.0,430.0,,,,25.0,T,FCC,10.1016/j.intermet.2019.106477,1
Co1 Fe1 Ni1,33.33,33.33,33.33,0.0,0.0,498.0,,,,25.0,T,FCC,10.1016/j.intermet.2019.106477,1
Co1 Fe1 Ni1,33.33,33.33,33.33,0.0,0.0,540.0,,,,25.0,T,FCC,10.1016/j.intermet.2019.106477,1
Co1 Fe1 Ni1,33.33,33.33,33.33,0.0,0.0,513.0,211.0,31.0,,25.0,T,FCC,10.1016/j.actamat.2014.08.026,1
Co1 Cr1 Fe1 Nb0.103 Ni1,24.37,24.37,24.37,0.0,0.0,622.0,318.0,19.0,,25.0,T,other,10.1016/j.intermet.2015.01.004,1
Co1 Cr1 Fe1 Nb0.155 Ni1,24.07,24.07,24.07,0.0,0.0,744.0,322.0,23.0,,25.0,T,other,10.1016/j.intermet.2015.01.004,1
Co1 Cr1 Fe1 Nb0.206 Ni1,23.78,23.78,23.78,0.0,0.0,807.0,403.0,9.0,,25.0,T,other,10.1016/j.intermet.2015.01.004,1
Co1 Cr1 Fe1 Nb0.309 Ni1,23.21,23.21,23.21,0.0,0.0,879.0,479.0,4.0,,25.0,T,other,10.1016/j.intermet.2015.01.004,1
Co1 Cr1 Fe1 Nb0.412 Ni1,22.67,22.67,22.67,0.0,0.0,1004.0,638.0,1.0,,25.0,T,other,10.1016/j.intermet.2015.01.004,1
Co1 Cu1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,480.0,,,,25.0,T,FCC,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.02,24.88,24.88,24.88,0.0,0.0,548.0,,,,25.0,T,FCC,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.04,24.75,24.75,24.75,0.0,0.0,594.0,,,,25.0,T,other,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.05,24.69,24.69,24.69,0.0,0.0,615.0,,,,25.0,T,other,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.07,24.57,24.57,24.57,0.0,0.0,632.0,,,,25.0,T,other,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.1,24.39,24.39,24.39,0.0,0.0,602.0,,,,25.0,T,other,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Ni1 Sn0.2,23.81,23.81,23.81,0.0,0.0,261.0,,,,25.0,T,other,10.1016/j.msea.2012.03.080,1
Co1 Cu1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,478.0,,,208.0,25.0,T,FCC,10.1016/j.matdes.2012.08.019,1
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,19.88,19.88,19.88,0.0,0.0,465.0,,,192.0,25.0,T,FCC,10.1016/j.matdes.2012.08.019,1
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,19.69,19.69,19.69,0.0,0.0,425.0,,,219.0,25.0,T,other,10.1016/j.matdes.2012.08.019,1
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,19.61,19.61,19.61,0.0,0.0,470.0,,,253.0,25.0,T,other,10.1016/j.matdes.2012.08.019,1
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,19.23,19.23,19.23,0.0,0.0,368.0,,,319.0,25.0,T,other,10.1016/j.matdes.2012.08.019,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,670.0,370.0,56.0,,25.0,T,FCC,10.1016/j.actamat.2013.06.018,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,720.0,350.0,21.9,,25.0,T,FCC,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,1410.0,1311.0,12.1,,25.0,T,other,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,1360.0,1212.0,14.9,,25.0,T,other,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,1249.0,1028.0,18.3,,25.0,T,other,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,1194.0,879.0,25.4,,25.0,T,other,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,1127.0,799.0,28.2,,25.0,T,other,10.1016/j.scriptamat.2017.05.019,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,19.99,35.0,19.99,0.0,0.0,918.0,350.0,62.4,,25.0,T,FCC,10.1016/j.scriptamat.2017.05.019,1
